id,title
98,A Tale of Two Cities
11,Alice's Adventures in Wonderland
1399,Anna Karenina
103,Around the World in Eighty Days
271,Black Beauty
2554,Crime and Punishment
996,Don Quixote
14591,Faust
84,Frankenstein
1400,Great Expectations
1524,Hamlet
219,Heart of Darkness
1260,Jane Eyre
1532,King Lear
135,Les Miserables
514,Little Women
5200,Metamorphosis
2701,Moby Dick
730,Oliver Twist
1531,Othello
16,Peter Pan
1342,Pride and Prejudice
1513,Romeo and Juliet
161,Sense and Sensibility
76,The Adventures of Huckleberry Finn
228,The Aeneid
28054,The Brothers Karamazov
215,The Call of the Wild
1184,The Count of Montecristo
64317,The Great Gatsby
2638,The Idiot
159,The Island of Doctor Moreau
1727,The Odyssey
25344,The Scarlet Letter
1257,The Three Musketeers
35,The Time Machine
7849,The Trial
209,The Turn of the Screw
12,Through the Looking Glass
120,Treasure Island
4300,Ulysses
2600,War and Peace
768,Wuthering Heights
